# BUSCO version is: 5.1.3 
# The lineage dataset is: fungi_odb10 (Creation date: 2020-09-10, number of genomes: 549, number of BUSCOs: 758)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
494at4751	Complete	k141_17245	150821	165658	+	3262.9	3109	https://www.orthodb.org/v10?query=494at4751	Midasin
771at4751	Complete	k141_17245	64286	75613	+	2748.8	2402	https://www.orthodb.org/v10?query=771at4751	PIK-related kinase
1866at4751	Complete	k141_21099	105631	111984	-	2951.3	1786	https://www.orthodb.org/v10?query=1866at4751	Glutamate synthase
3534at4751	Complete	k141_9984	45406	51228	+	1670.6	1389	https://www.orthodb.org/v10?query=3534at4751	SNF2-related, N-terminal domain
4409at4751	Complete	k141_52585	86757	94040	-	1225.0	1893	https://www.orthodb.org/v10?query=4409at4751	Armadillo-type fold
4466at4751	Complete	k141_21995	26931	34901	-	2360.6	2102	https://www.orthodb.org/v10?query=4466at4751	Ribosomal protein L19
4523at4751	Complete	k141_16069	51457	58566	-	2991.1	1882	https://www.orthodb.org/v10?query=4523at4751	Pre-mRNA-processing-splicing factor 8
5995at4751	Complete	k141_48014	14512	19494	+	718.4	886	https://www.orthodb.org/v10?query=5995at4751	Protein kinase domain
6186at4751	Complete	k141_26550	236499	241796	-	623.9	1136	https://www.orthodb.org/v10?query=6186at4751	Armadillo-type fold
6272at4751	Complete	k141_49925	28349	32425	+	930.3	802	https://www.orthodb.org/v10?query=6272at4751	WD40-repeat-containing domain
6377at4751	Fragmented	k141_27641	167759	169099	+	52.6	337	https://www.orthodb.org/v10?query=6377at4751	L-aminoadipate-semialdehyde dehydrogenase
6592at4751	Missing
6812at4751	Fragmented	k141_17245	86734	89388	+	35.5	435	https://www.orthodb.org/v10?query=6812at4751	DNA polymerase epsilon catalytic subunit
7423at4751	Complete	k141_8523	24787	32946	+	997.9	1276	https://www.orthodb.org/v10?query=7423at4751	CCR4-NOT transcription complex subunit 1, CAF1-binding domain
7545at4751	Complete	k141_43136	29121	33578	-	759.0	1020	https://www.orthodb.org/v10?query=7545at4751	Anaphase-promoting complex subunit 1
8406at4751	Complete	k141_20094	24921	28769	+	645.9	646	https://www.orthodb.org/v10?query=8406at4751	Transcription initiation factor TFIID subunit 2
8818at4751	Complete	k141_10090	300034	305016	+	2146.2	1407	https://www.orthodb.org/v10?query=8818at4751	Clathrin heavy chain
10168at4751	Missing
10531at4751	Complete	k141_8111	144773	147904	+	524.3	785	https://www.orthodb.org/v10?query=10531at4751	Rapamycin-insensitive companion of mTOR, domain 4
11140at4751	Complete	k141_6907	142939	147777	-	874.3	1263	https://www.orthodb.org/v10?query=11140at4751	Protein dopey
11636at4751	Complete	k141_51310	22815	26843	-	508.1	856	https://www.orthodb.org/v10?query=11636at4751	Tetratricopeptide repeat
11879at4751	Missing
12258at4751	Missing
12812at4751	Complete	k141_6907	181911	185708	-	293.8	525	https://www.orthodb.org/v10?query=12812at4751	WD40/YVTN repeat-like-containing domain superfamily
12959at4751	Complete	k141_8523	4123	9288	+	1484.4	1320	https://www.orthodb.org/v10?query=12959at4751	Sec7, C-terminal
13224at4751	Complete	k141_9984	58343	62554	-	471.2	829	https://www.orthodb.org/v10?query=13224at4751	Nucleoporin, Nup133/Nup155-like, N-terminal
13605at4751	Complete	k141_42321	56802	62360	+	489.2	1368	https://www.orthodb.org/v10?query=13605at4751	clathrin-coated vesicle protein
14295at4751	Complete	k141_21459	8017	11526	-	1410.2	854	https://www.orthodb.org/v10?query=14295at4751	Carbamoyl-phosphate synthase arginine-specific large chain
14441at4751	Complete	k141_16069	227711	232630	+	1766.7	1420	https://www.orthodb.org/v10?query=14441at4751	DNA-directed RNA polymerase subunit
14523at4751	Complete	k141_42321	284024	287266	+	1145.3	890	https://www.orthodb.org/v10?query=14523at4751	Exportin-1
